accuracy,error_type,f1,iou,precision,recall,reward
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,18.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,13.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,13.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,13.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,14.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,13.0
0.0,No Error,-1.0,0.0,0.0,0.0,13.0
0.25,No Error,0.4000000000000001,0.25,0.4,0.4,15.25
1.0,No Error,1.0,1.0,1.0,1.0,18.0
0.25,No Error,0.4000000000000001,0.25,0.4,0.4,15.25
0.0,No Error,-1.0,0.0,0.0,0.0,12.0
0.25,No Error,0.4000000000000001,0.25,0.4,0.4,15.25
1.0,No Error,1.0,1.0,1.0,1.0,16.0
1.0,No Error,1.0,1.0,1.0,1.0,16.0
1.0,No Error,1.0,1.0,1.0,1.0,16.0
1.0,No Error,1.0,1.0,1.0,1.0,16.0
1.0,No Error,1.0,1.0,1.0,1.0,16.0
1.0,No Error,1.0,1.0,1.0,1.0,16.0
0.0,No Error,-1.0,0.0,0.0,0.0,11.0
1.0,No Error,1.0,1.0,1.0,1.0,16.0
1.0,No Error,1.0,1.0,1.0,1.0,16.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,11.0
1.0,No Error,1.0,1.0,1.0,1.0,16.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,11.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,8.0
1.0,No Error,1.0,1.0,1.0,1.0,15.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,10.0
1.0,No Error,1.0,1.0,1.0,1.0,34.0
1.0,No Error,1.0,1.0,1.0,1.0,34.0
0.0,No Error,-1.0,0.0,0.0,0.0,28.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,31.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,30.0
0.0,No Error,-1.0,0.0,0.0,0.0,29.0
0.0,No Error,-1.0,0.0,0.0,0.0,29.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,29.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,28.0
0.0,<class 'sqlite3.OperationalError'>,-1.0,0.0,0.0,0.0,30.0
0.0,No Error,-1.0,0.0,0.0,0.0,28.0
0.0,No Error,-1.0,0.0,0.0,0.0,14.0
1.0,No Error,1.0,1.0,1.0,1.0,10.0
